Diana,Lace Front,Synthetic,Body Wavy,Long,Diana-DPL-MILANO,DPL MILANO,Deep Part,34.99,47.99,,1!637322716502:1B!637322716519:2!637322716526:F1B-30!637322716533:F4-27-30!637322716557:F4-30!637322716564:TT30!637322716588:TT4-1010!637322716595:TT99J!637322716601,1!637322716502:1B!637322716519:2!637322716526:F1B-30!637322716533:F4-27-30!637322716557:F4-30!637322716564:TT30!637322716588:TT4-1010!637322716595:TT99J!637322716601,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Curly Style,Medium,Diana-DPL-MONACO,DPL MONACO,Deep Part,34.99,47.99,,1!637322878507:1B!637322878514:2!637322878521:4!637322878538:99J!637322878545:F1B-30!637322878552:F4-27-30!637322878569:NT AUBURN!637322878576:NT BLONDE!637322878590:NT FIRE!637322878606:NT613!637322878583,1!637322878507:1B!637322878514:2!637322878521:4!637322878538:99J!637322878545:F1B-30!637322878552:F4-27-30!637322878569:NT AUBURN!637322878576:NT BLONDE!637322878590:NT FIRE!637322878606:NT613!637322878583,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Straight,Long,Diana-DPL-PARIS,DPL PARIS,Deep Part,34.99,47.99,,1!637322846001:1B!637322846018:2!637322846070:F1B-30!637322846094:F4-30!637322846100:NT23033!637322846032:NT430!637322846049:NT99J!637322846087,1!637322846001:1B!637322846018:2!637322846070:F1B-30!637322846094:F4-30!637322846100:NT23033!637322846032:NT430!637322846049:NT99J!637322846087,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Straight,Medium,Diana-DPL-PRAHA,DPL PRAHA,Deep Part,34.99,47.99,,1!637322705001:1B!637322705018:2!637322705025:DKPU!637322705070:F1B-30!637322705032:F4-30!637322705049:NT AUBURN!637322705056:WINE!637322705063,1!637322705001:1B!637322705018:2!637322705025:DKPU!637322705070:F1B-30!637322705032:F4-30!637322705049:NT AUBURN!637322705056:WINE!637322705063,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Loose Curl,Long,Diana-DPL-RIO,DPL RIO,Deep Part,34.99,47.99,,1!637322860502:1B!637322860519:2!637322860526:99J!637322860595:F1B-30!637322860540:F4-27-30!637322860557:NT AUBURN!637322860564:NT BLONDE!637322860588:NT FIRE!637322860571,1!637322860502:1B!637322860519:2!637322860526:99J!637322860595:F1B-30!637322860540:F4-27-30!637322860557:NT AUBURN!637322860564:NT BLONDE!637322860588:NT FIRE!637322860571,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Straight,Medium,Diana-DPL-SOFIA,DPL SOFIA,Deep Part,34.99,47.99,,1!637322706008:1B!637322706015:2!637322706022:DKPU!637322706091:F1B-30!637322706039:F4-30!637322706046:NT AUBURN!637322706053:TT WINE!637322706077:TT30!637322706084:TT99J!637322706060,1!637322706008:1B!637322706015:2!637322706022:DKPU!637322706091:F1B-30!637322706039:F4-30!637322706046:NT AUBURN!637322706053:TT WINE!637322706077:TT30!637322706084:TT99J!637322706060,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Wavy Style,Long,Diana-DPL-VENICE,DPL VENICE,Deep Part,34.99,47.99,,1!637322728000:1B!637322728017:2!637322728024:99J!637322728031:F1B-30!637322728048:F4-27-30!637322728055:F4-30!637322728062,1!637322728000:1B!637322728017:2!637322728024:99J!637322728031:F1B-30!637322728048:F4-27-30!637322728055:F4-30!637322728062,,,,,,,,,,,,,
Diana,Half Wig,Human Blend Hair,Straight,Medium,Diana-HBF-DALLAS,HBF DALLAS,Brazilian Secret,22.99,36.99,,1!637322711002:1B!637322711019:2!637322711026:4!637322711033:F1B-30!637322711040:F4-27-30!637322711057:F4-30!637322711064:NT99J!637322711071,1!637322711002:1B!637322711019:2!637322711026:4!637322711033:F1B-30!637322711040:F4-27-30!637322711057:F4-30!637322711064:NT99J!637322711071,,,,,,,,,,,,,
Diana,Half Wig,Human Blend Hair,Wavy Style,Long,Diana-HBF-MIAMI,HBF MIAMI,Brazilian Secret,22.99,36.99,,1!637322712504:1B!637322712511:2!637322712528:4!637322712535:F1B-30!637322712542:F4-27-30!637322712559:F4-30!637322712566:NT99J!637322712573,1!637322712504:1B!637322712511:2!637322712528:4!637322712535:F1B-30!637322712542:F4-27-30!637322712559:F4-30!637322712566:NT99J!637322712573,,,,,,,,,,,,,
Diana,Lace Front,Human Blend Hair,Straight,Medium,Diana-HBW-ANGELA,HBW ANGELA,Brazilian Secret,42.99,57.99,,1!637322714508:1B!637322714515:2!637322714522:4!637322714539:99J!637322714546:F1B-30!637322714553:F4-27-30!637322714560:F4-30!637322714577:FS2730!637322714584:RED WINE!637322714591,1!637322714508:1B!637322714515:2!637322714522:4!637322714539:99J!637322714546:F1B-30!637322714553:F4-27-30!637322714560:F4-30!637322714577:FS2730!637322714584:RED WINE!637322714591,,,,,,,,,,,,,
Diana,Lace Front,Human Blend Hair,Wavy Style,Medium,Diana-HBW-ASHLEY,HBW ASHLEY,Brazilian Secret,42.99,57.99,,1!637322701508:1B!637322701515:2!637322701522:4!637322701591:99J!637322701539:F1B-30!637322701546:F4-27-30!637322701584:F4-30!637322701577:FS2730!637322701553:RED WINE!637322701560,1!637322701508:1B!637322701515:2!637322701522:4!637322701591:99J!637322701539:F1B-30!637322701546:F4-27-30!637322701584:F4-30!637322701577:FS2730!637322701553:RED WINE!637322701560,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Straight,Medium,Diana-HW-BUMPY,HW BUMPY,Bohemian Remy ,49.99,62.99,,1!637322997512:1B!637322997529:2!637322997536:4!637322997543,1!637322997512:1B!637322997529:2!637322997536:4!637322997543,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Curly Style,Short,Diana-HW-CORA,HW CORA,Bohemian Remy ,49.99,62.99,,1!637322882009:1B!637322882016:2!637322882023:4!637322882030:99J!637322882061:BLOOMING!637322882078:F1B-30!637322882047:F4-30!637322882054:FUSION!637322882085,1!637322882009:1B!637322882016:2!637322882023:4!637322882030:99J!637322882061:BLOOMING!637322882078:F1B-30!637322882047:F4-30!637322882054:FUSION!637322882085,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Wavy Style,Short,Diana-HW-EMMA,HW EMMA,Bohemian Remy ,49.99,62.99,,1!637322933015:1B!637322933022:2!637322933039:280!637322933107:4!637322933046:44!637322933091:F1B-30!637322933053,1!637322933015:1B!637322933022:2!637322933039:280!637322933107:4!637322933046:44!637322933091:F1B-30!637322933053,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Straight,Medium,Diana-HW-ETRO,HW ETRO,Bohemian Remy ,49.99,62.99,,1!637322887004:1B!637322887011:2!637322887028:4!637322887035:99J!637322887066:F1B-30!637322887042:F4-30!637322887059,1!637322887004:1B!637322887011:2!637322887028:4!637322887035:99J!637322887066:F1B-30!637322887042:F4-30!637322887059,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Curly Style,Short,Diana-HW-HANA,HW HANA,Bohemian Remy ,49.99,62.99,,1!637322882504:1B!637322882511:99J!637322882566:BLOOMING!637322882573:F1B-30!637322882542:FUSION!637322882580,1!637322882504:1B!637322882511:99J!637322882566:BLOOMING!637322882573:F1B-30!637322882542:FUSION!637322882580,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Curly Style,Short,Diana-HW-MACY,HW MACY,Bohemian Remy ,49.99,62.99,,1!637322883006:1B!637322883013:2!637322883020:4!637322883037:99J!637322883068:BLOOMING!637322883075:F1B-30!637322883044:F4-30!637322883051:FUSION!637322883082,1!637322883006:1B!637322883013:2!637322883020:4!637322883037:99J!637322883068:BLOOMING!637322883075:F1B-30!637322883044:F4-30!637322883051:FUSION!637322883082,,,,,,,,,,,,,
Diana,Full Wig,100% Human Hair,Wavy Style,Short,Diana-HW-MYA,HW MYA,Bohemian Remy  ,49.99,62.99,,1!637322932513:1B!637322932520:2!637322932537:280!637322932605:4!637322932544:44!637322932599:F1B-30!637322932551:F4-30!637322932582,1!637322932513:1B!637322932520:2!637322932537:280!637322932605:4!637322932544:44!637322932599:F1B-30!637322932551:F4-30!637322932582,,,,,,,,,,,,,
